O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
3,4,3,4,3,4,3,4,4,3,Cybersecurity
4,4,3,5,3,4,3,4,5,3,Cybersecurity
3,4,3,4,3,5,3,4,4,3,Cybersecurity
3,5,3,4,2,4,3,4,5,3,Cybersecurity
4,3,4,4,3,4,3,5,4,3,Cybersecurity
3,4,3,5,3,4,3,4,4,2,Cybersecurity
3,4,3,4,3,4,4,3,5,3,Cybersecurity
3,4,3,4,3,5,3,4,4,3,Cybersecurity
3,3,4,4,3,4,3,4,5,3,Cybersecurity
4,4,3,4,3,5,3,4,4,3,Cybersecurity
3,4,3,4,3,4,3,5,4,3,Cybersecurity
3,5,2,4,3,4,3,4,5,3,Cybersecurity
4,4,3,4,3,5,4,4,5,3,Cybersecurity
3,4,3,5,2,5,3,4,5,2,Cybersecurity
4,4,3,5,3,5,3,4,4,3,Cybersecurity
3,5,3,4,2,4,3,4,5,3,Cybersecurity
3,4,3,5,2,4,4,4,5,3,Cybersecurity
3,4,3,4,2,4,4,5,4,3,Cybersecurity
3,4,3,4,3,5,3,4,5,3,Cybersecurity
4,5,3,5,3,4,3,4,5,3,Cybersecurity
3,4,2,4,2,4,3,5,5,3,Cybersecurity
4,3,3,4,3,5,4,4,5,3,Cybersecurity
3,4,3,4,3,4,4,4,5,3,Cybersecurity
3,4,4,4,3,4,3,5,4,3,Cybersecurity
4,4,3,5,3,4,3,4,5,3,Cybersecurity
3,4,3,4,2,4,3,5,4,3,Cybersecurity
3,4,3,5,3,4,3,4,5,3,Cybersecurity
4,4,3,5,3,5,3,4,4,3,Cybersecurity
4,4,5,3,2,3,3,3,3,5,Marketing
4,3,5,4,2,3,4,3,3,5,Marketing
5,4,5,3,2,4,3,3,3,5,Marketing
3,4,5,4,2,2,3,3,4,5,Marketing
4,4,4,4,2,3,3,4,3,5,Marketing
4,5,5,3,1,3,3,4,4,5,Marketing
5,4,4,3,2,2,3,4,4,5,Marketing
4,3,5,4,2,3,3,3,3,5,Marketing
4,4,5,3,2,3,4,3,3,5,Marketing
5,4,5,4,2,3,3,4,4,5,Marketing
4,4,4,3,2,3,3,3,3,5,Marketing
3,4,5,4,3,2,3,3,4,5,Marketing
4,3,4,3,2,3,4,3,3,5,Marketing
4,5,5,3,1,3,4,4,4,5,Marketing
5,4,4,4,2,3,3,3,4,5,Marketing
4,3,5,4,2,3,4,4,3,5,Marketing
4,4,4,3,3,3,3,4,4,5,Marketing
5,5,4,3,2,2,4,3,3,5,Marketing
4,4,5,3,1,3,4,4,4,5,Marketing
4,3,5,3,3,2,4,3,3,5,Marketing
3,4,5,4,2,3,4,4,4,5,Marketing
5,4,5,3,2,2,3,4,4,5,Marketing
4,4,4,4,2,3,3,3,4,5,Marketing
4,3,5,4,2,3,4,3,4,5,Marketing
4,4,4,3,3,3,4,3,4,5,Marketing
5,4,5,4,2,3,4,3,4,5,Marketing
4,4,5,3,1,2,3,4,4,5,Marketing
3,5,4,4,2,3,4,3,3,5,Marketing
4,4,4,3,2,3,4,4,4,5,Marketing
4,3,5,4,3,2,3,4,4,5,Marketing
4,4,5,3,2,3,4,4,3,5,Marketing
3,5,4,3,1,2,4,4,3,5,Marketing
